,,,
Message_ID,Previous_Chat,Current_Message,Label
39,pick hero macam babi,pukimak la budak-budak melayu ni,1
40,pukimak la budak-budak melayu ni,aku semak betul,1
41,aku semak betul,"tak dik, dik kalau kau takde hero global",0
42,"tak dik, dik kalau kau takde hero global",jangan acah-acah ada title global,0
43,jangan acah-acah ada title global,yang terlalu pro ni dik tahu,0
44,yang terlalu pro ni dik tahu,bagi la global dulu,0
45,bagi la global dulu,betul tak baru boleh menganjing,1
46,betul tak baru boleh menganjing,ini kau takde hero global,0
47,ini kau takde hero global,pastu nak menganjing player-player global,1
48,pastu nak menganjing player-player global,kau sedar diri tak,0
49,kau sedar diri tak,melayu pukimak,1
50,melayu pukimak,sedar diri tak,0
51,sedar diri tak,eh bodo la budak ni sumpah,1
52,eh bodo la budak ni sumpah,dia ni taksub sangat dengan hanabi dia la bodoh,1
53,dia ni taksub sangat dengan hanabi dia la bodoh,bangang punya budak,1
54,bangang punya budak,kau acah-acah pulak kau,0
55,kau acah-acah pulak kau,sumpah la,0
56,sumpah la,adoi,0
57,adoi,makin lama makin menjadi gila ,0
58,makin lama makin menjadi gila ,player-player ml ni gais,0
59,player-player ml ni gais,sumpah la,0
60,sumpah la,hanabi,0
61,hanabi,oo ye bodoh hahahaha,0
62,oo ye bodoh hahahaha,number 3 gila,0
63,number 3 gila,patut dia marah macam,0
64,patut dia marah macam,macam pundek,1
65,macam pundek,eh takde siapa main hanabi la gila,0
66,eh takde siapa main hanabi la gila,hanabi zaman kadok,0
67,hanabi zaman kadok,zaman apa tak tahu la gais,0
68,zaman apa tak tahu la gais,sumpah la,0
69,sumpah la,aduu al channel al channel,0
70,aduu al channel al channel,ig kau kau tahu,0
71,ig kau kau tahu,kau ni taksub sangat dengan hanabi kau ni,0
72,kau ni taksub sangat dengan hanabi kau ni,hanabi kau ni gempak sangat ke apa,0
73,hanabi kau ni gempak sangat ke apa,nasib baik la tkde ig kau,0
74,nasib baik la tkde ig kau,kalau kau letak ig kau petak kepala kau ni,0
75,kalau kau letak ig kau petak kepala kau ni,cuma bisa hanabi,0
76,cuma bisa hanabi,nak haram dia ni,1
77,nak haram dia ni,686 match wei season ni,0
78,686 match wei season ni,tengok sikit season ni geng,0
79,tengok sikit season ni geng,skin pun tkde,0
80,skin pun tkde,pakai hanabi beria,0
81,pakai hanabi beria,aduu global hanabi ni,0
82,aduu global hanabi ni,budak ni memang kelakar la,0
83,budak ni memang kelakar la,siapa kenal al channel ni eh,0
84,siapa kenal al channel ni eh,sumpah la,0
85,sumpah la,dia ni lawak do,0
86,dia ni lawak do,lawak gila mat,0
87,lawak gila mat,lawak dia tkle bawa bincang do,0
88,lawak dia tkle bawa bincang do,lawak dia tu orang kata,0
89,lawak dia tu orang kata,tak rilek,0
90,tak rilek,eh jangan la invite,0
91,eh jangan la invite,aduhai al channel,0
92,aduhai al channel,itu la tu,0
93,itu la tu,kelakar la dia ni,0
94,kelakar la dia ni,dia melambangkan yang dia tu memang bodoh do,1
95,dia melambangkan yang dia tu memang bodoh do,bodoh bangang dia tu,1
96,bodoh bangang dia tu,aku nak tengok sekali lagi,0
97,aku nak tengok sekali lagi,last eh last,0
98,last eh last,sumpah la,0
99,sumpah la,pukimak punya melayu,1
100,pukimak punya melayu,ei aku stres betul la,0
101,,glhf gais,0
102,glhf gais,no 5 roam eh,0
103,no 5 roam eh,ok aku pakai minotaur,0
104,ok aku pakai minotaur,ok aku gold lane,0
105,ok aku gold lane,ok,0
106,ok,turtle nak spawn gais,0
107,turtle nak spawn gais,duk dalam semak lu,0
108,duk dalam semak lu,retri ready,0
109,retri ready,nice dpt turtle,0
110,nice dpt turtle,nice ,0
111,nice   ,mm stay tower dulu,0
112,mm stay tower dulu,ada 3 org kat bawah ni,0
113,ada 3 org kat bawah ni,jap aku rotate bawah,0
114,jap aku rotate bawah,cepat sikit darah dah low,0
115,cepat sikit darah dah low,babi diorang dive tower,1
116,babi diorang dive tower,sorry tak sempat sampai,0
117,sorry tak sempat sampai,asal lambat sangat cibai,1
118,asal lambat sangat cibai,aku kena kacau dengan fanny tadi la,0
119,aku kena kacau dengan fanny tadi la,buta map memang macam tu,1
120,buta map memang macam tu,roam buta map babi,1
121,roam buta map babi,aku tgh cover hyper la bodoh,1
122,aku tgh cover hyper la bodoh,asyik hyper je cibai,1
123,asyik hyper je cibai,diam la mm noob,1
124,diam la mm noob,main je la woi jgn maki,0
125,main je la woi jgn maki,turtle up gais,0
126,turtle up gais,hyper retri ready,0
127,hyper retri ready,alamak fanny masuk,0
128,alamak fanny masuk,turtle dorg dpt babi,1
129,turtle dorg dpt babi,hyper indomaret retri cb,1
130,hyper indomaret retri cb,lek ah,0
131,lek ah,alasan je anjing mmg noob,1
132,alasan je anjing mmg noob,rilek baru 1 turtle,0
133,rilek baru 1 turtle,top kena gank ni,0
134,top kena gank ni,yz mati aduh,0
135,yz mati aduh,x rotate babi,1
136,x rotate babi,yz koyak hahaha,0
137,yz koyak hahaha,xp lane babi noob,1
138,xp lane babi noob,diam la pukimak,1
139,diam la pukimak,fokus la gais blh menang ni,0
140,fokus la gais blh menang ni,mid kosong weh,0
141,mid kosong weh,fanny tgh push bot,0
142,fanny tgh push bot,yz clear minion top,0
143,yz clear minion top,nice yz,0
144,nice yz,enemy miss 3 org,0
145,enemy miss 3 org,diorang set up bush mid,0
146,diorang set up bush mid,nana ulti bush tu,0
147,nana ulti bush tu,nice set tigreal,0
148,nice set tigreal,cantik dpt 2 org,0
149,cantik dpt 2 org,push mid push mid,0
150,push mid push mid,nice,0
151,nice,push back amik lord dulu,0
152,push back amik lord dulu,kumpul lord gais,0
153,kumpul lord gais,tank buka map,0
154,tank buka map,gas lord,0
155,gas lord,mark fanny,0
156,mark fanny,fanny salah cable lol,1
157,fanny salah cable lol,fanny buta jari cacat ke,1
158,fanny buta jari cacat ke,fanny darat bodo,1
159,fanny darat bodo,tq free kill cb,1
160,tq free kill cb,nice dapat lord,0
161,nice dapat lord,clear 3 lane,0
162,clear 3 lane,push dengan lord,0
163,push dengan lord,jgn dive tower,0
164,jgn dive tower,beatrix duduk belakang tank,0
165,beatrix duduk belakang tank,nafsu dok,0
166,nafsu dok,nice ulti chou,0
167,nice ulti chou,aduh beatrix kena culik,0
168,aduh beatrix kena culik,tank cover la anjing,1
169,tank cover la anjing,tank buta map pukimak,1
170,tank buta map pukimak,kau yg depan sgt sial,1
171,kau yg depan sgt sial,babi team sampah asyik salahkan mm,1
172,babi team sampah asyik salahkan mm,report mm toxic,0
173,report mm toxic,report kepala bapak kau,1
174,report kepala bapak kau,lord dah mati taik,1
175,lord dah mati taik,def base dulu,0
176,def base dulu,tgu beatrix respawn,0
177,tgu beatrix respawn,beli immo gais late game dah,0
178,beli immo gais late game dah,tkyah nk ajar aku la,0
179,tkyah nk ajar aku la,macam bodo do mm ni,1
180,macam bodo do mm ni,fanny try push top,0
181,fanny try push top,yz tahan fanny,0
182,yz tahan fanny,cantik fanny mati,0
183,cantik fanny mati,noob babi fanny mati lg,1
184,noob babi fanny mati lg,chou pun mati kena stun nana,0
185,chou pun mati kena stun nana,push jom 5 lawan 3,0
186,push jom 5 lawan 3,maju terus,0
187,maju terus,wipe out nice,0
188,wipe out nice,push mid push mid,0
189,push mid push mid,ggwp gais,0
190,ggwp gais,ez game,0
191,ez game,beban do mm,1
192,beban do mm,tula nasib baik menang,0
193,tula nasib baik menang,nasib je chou tgh lag cb,1
194,nasib je chou tgh lag cb,alasan lag la anjing loser,1
195,alasan lag la anjing loser,kau main mcm sampah babi mm,1
196,kau main mcm sampah babi mm,adik aku pro lgi,0
197,adik aku pro lagi,delete je la ml anjing,1
198,delete je la ml anjing,toxic do,0
199,toxic do,rilek aa bro bukan main tour pun,0
200,rilek aa bro bukan main tour pun,k,0
201,start of chat,woi laju laju,0
202,woi laju laju,sabar ya gais,0
203,sabar ya gais,info info gais,0
204,info info gais,srg pukul berapa eh pukul 7 ke 8,0
205,srg pukul berapa eh pukul 7 ke 8,ya ya laju masuk,0
206,ya ya laju masuk,menekan do sidai sidai,0
207,menekan do sidai sidai,aku janji tadi pukul 4,0
208,aku janji tadi pukul 4,eh pukul 8 eh,0
209,eh pukul 8 eh,bapak ah,0
210,bapak ah,sabar jap,0
211,sabar jap,like dulu gais,0
212,like dulu gais,kenapa semalam kau tak live feek,0
213,kenapa semalam kau tak live feek,semalam aku penat aa,0
214,semalam aku penat aa,aku penat faham tak,0
215,aku penat faham tak,bukannya selek ke apa,0
216,bukannya selek ke apa,aku penat do,0
217,aku penat do,sakit badan tahu tak,0
218,sakit badan tahu tak,aku ni kena layan karenah bingai korang tau,1
219,aku ni kena layan karenah bingai korang tau,itu yang penat tu,0
220,itu yang penat tu,tak nak maafkan kau pegi mampus aa kau,1
221,tak nak maafkan kau pegi mampus aa kau,kau fikir kau sapa nak melutut dekat kau lahabau,1
222,kau fikir kau sapa nak melutut dekat kau lahabau,amaran pertama,0
223,amaran pertama,weyh ganas ,0
224,weh ganas,its ok,0
225,its ok,aku dah la kerja malam bole pulak sidai barua,1
226,aku dah la kerja malam bole pulak sidai barua,mana ada sidai,0
227,mana ada sidai,nice,0
228,nice,lagu aura ke ni pik,0
229,lagu aura ke ni pik,2 orang tumbang do,0
230,2 orang tumbang do,malaydesh,1
231,malaydesh,diam aa indomaret,1
232,diam aa indo maret,tido patrick,0
233,tido patrick,cringe,0
234,cringe,apa yang cringe nye,0
235,apa yang cringe nye,banyak borak laa,0
236,banyak borak laa,dark system mati bongok,1
237,dark system mati bongok,gg sampah,1
238,gg sampah,bingai srg,1
239,bingai srg,ez game,0
240,ez game,leomord sampah,1
241,leomord sampah,freya yang sampah,1
242,freya yang sampah,bangkek,1
243,bangkek,tampar kau satgi babi,1
244,tampar kau satgi babi,tekan button like,0
245,tekan button like,tukar jungle benak ubi,0
246,tukar jungle benak ubi,cmon srg,0
247,cmon srg,bismillah,0
248,bismillah,pecah kepala boi,0
249,pecah kepala boi,tiba ii nk pakai baxia mcm gampang,1
250,tiba ii nk pakai baxia mcm gampang,ini bencana,0
251,ini bencana,kalah draft ni,0
252,kalah draft ni,klh,0
253,klh,beria,1
254,beria,wuto,1
255,wuto,baxia lembab,1
256,baxia lembab,relax la bodo korg dh knpe,1
257,relax la bodo korg dh knpe,keren,0
258,keren,ae bot,1
259,ae bot,baikk,0
260,baikk,srg kalah bye,0
261,srg kalah bye,kecewa do,0
262,kecewa do,mcm gmpng,1
263,mcm gmpng,siaw hilda no function,0
264,siaw hilda no function,balik jela,0
265,balik jela,lawak,0
266,lawak,korg marah aku tkde guna siaw,1
267,korg marah aku tkde guna siaw,kita percaya gais,0
268,kita percaya gais,tak respect tu babi,1
269,tak respect tu babi,srg sampah,1
270,srg sampah,cam bodohyper,1
271,cam bodohyper,jubo,1
272,jubo,bana kau ok,1
273,bana kau ok,gameplay apa ni,0
274,gameplay apa ni,mcm babi coach ni,1
275,mcm babi coach ni,cam babi draft,1
276,cam babi draft,war terus,0
277,war terus,draft ke laut,0
278,draft ke laut,bingai ,1
279,bingai  ,jangan war,0
280,jangan war,main main,0
281,main main,sumpah lol,1
282,sumpah lol,srs laa,0
283,srs laa,bingai srg,1
284,bingai srg,bingai,1
285,bingai,sumpah baxia no function,0
286,sumpah baxia no function,dah bingai dah nih,0
287,dah bingai dah nih,dapt rehat sehari pon mcm siaw,1
288,dapt rehat sehari pon mcm siaw,aib negara,0
289,aib negara,kecewa  ,1
290,kecewa  ,coach bingai,1
291,coach bingai,tak respect  ,0
292,tak respect  ,mengarut draft,0
293,mengarut draft,cupu srg,0
294,cupu srg,srg noob,1
295,srg noob,selancap red giant,1
296,selancap red giant,lucu malaydesh,1
297,lucu malaydesh,indo beli masa tu kimak dorang ni,1
298,indo beli masa tu kimak dorang ni,bangsat,1
299,bangsat,malaydesh,1
300,malaydesh,kena bantai,0
301,kena bantai,bingai,1
302,bingai,ban pun dark sistem,0
303,,commend aku ty lah,0
304,,fucking reported axe,1
305,fucking reported axe lah,aduh kenapa axe tu raping aku top,1
306,kenapa axe tu raping aku top je,sori nex,0
307,sori nex,apa tu tu best soup ? wei,0
308,,man tu silence on axe we,0
309,man tu silence on axe we,tak coming into play we,0
310,tak coming into play sia,kau useless anyways sia,1
311,kau useless anyways,aku punya storm also cry,0
312,aku punya storm also cry lah,20mins scythe on od,0
313,,ty pudge wei,0
314,,well played shit cunts,1
315,,only aku wei,0
316,,for farming a lot we,0
317,,aduh cause fo fucking hg kot,1
318,,kau wouldhave hit tu throne kau jebaited 2k je,1
319,,fuck off lol,1
320,,ni game sia,0
321,ni game,aduh fck kau,1
322,fck kau,happy new year lah,0
323,,passive heross here,0
324,,ty,0
325,,fuckign ancients,1
326,fuckign ancients sia,slow hand tinker,0
327,slow hand tinker,wtf ? wei,0
328,wtf ? sia,fking clock je,1
329,fking clock ke,counter more wei,0
330,,macam mana many more x3 mins do kita have to jap,0
331,macam mana many more x3 mins do kita have to jap wei,tu was more lucky than ur bunuh d wei,0
332,,report sf dan lycan kot,0
333,report sf dan lycan wei,bodoh retard take lycan for hard kot,1
334,retard take lycan for hard we,bodoh second rtard lose lane dengan tolong sia,1
335,second rtard lose lane dengan tolong kot,jangan forget report lycan dan sf kot,0
336,,000000000 5 nice fedd,0
337,000000000 5 nice fedd,nice fedddd je,0
338,nice fedddd kot,fed fed,0
339,,apa tu actual fuck,1
340,,really ?,0
341,really ?,tu bug we,0
342,,ff pls,0
343,,aku will commend kau sniper kalau kau commend aku sangat lah,0
344,aku will commend kau sniper kalau kau commend aku sangat,has gem walked into bomb,0
345,,FUCK THIS PANGO,1
346,,report wk,0
347,,babi noob team je,1
348,,"apparently
",0
349,apparently,and then,0
350,and then,aku punya team,0
351,aku punya team,bodoh fucking axe retard cunt,1
352,,lag tu fuck up,1
353,,babi support aku punya ass senpai,1
354,support aku punya ass senpai,babi ima out to fuck,1
355,ima out to fuck lah,bodoh 2 carries to take down a fukkin support lah,1
356,2 carries to take down a fukkin support ke,who kau tellin to chill nibba kot,1
357,who kau tellin to chill nibba,miss aku dengan tu gay shit lah,1
358,miss aku dengan tu gay shit,aduh ur a fucking cunt,1
359,ur a fucking cunt wei,dan aku am a support ke,0
360,,babi little fairplay rusians shit,1
361,little fairplay rusians shit,babi fuck mothers sia,1
362,fuck mothers,? ? ? lol sekarang pause,0
363,? ? ? lol sekarang pause,ni trash russian lah,1
364,ni trash russian wei,babi worst country of tu world,1
365,worst country of tu world,bodoh hey dog russians lah,1
366,hey dog russians,trash russian we,1
367,trash russian,bodoh tu tu dog knows only barking ?,1
368,tu tu dog knows only barking ?,babi did kau mother fuck a dog to born kau lah,1
369,did kau mother fuck a dog to born kau,fuck dog to born ? lah,1
370,fuck dog to born ? kot,kenapa semua russian tu so dirty player,0
371,kenapa semua russian tu so dirty player,bodoh kau punya country shame on kau ke,1
372,kau punya country shame on kau,tu russian dog we,1
373,tu russian dog we,sad ni dog,1
374,sad ni dog we,babi a dog cant bark dan tak brain lah,1
375,a dog cant bark dan tak brain,hey barkkkkkkk je,1
376,hey barkkkkkkk sia,jangan bunuh tu dog,1
377,jangan bunuh tu dog je,bodoh pergi fuck yourself xd bye bye dog we,1
378,,fuck tu game,1
379,fuck tu game kot,fuck ni shit nap team,1
380,,reported viper tolong sia,0
381,,iyot tu real,1
382,,that's kenapa they have a turbo sekarang kot,0
383,that's kenapa they have a turbo sekarang we,fuck ni game sia,1
384,fuck ni game je,team reported dan afk ke,0
385,team reported dan afk wei,"dota mana everyone tu a cunt , regtardless of team",1
386,,o,0
387,,its fat,0
388,,commend troll wei,0
389,commend troll lah,he's autistic sia,1
390,,which killed aku kot,0
391,,check ni,0
392,check ni,cry bitch kot,1
393,,these bashes,0
394,these bashes,babi holy shit,1
395,holy shit,dari tu offlane,0
396,,aku missed tu hill ke,0
397,aku missed tu hill,rof sia,0
398,,chert,0
399,,idk apa teals talking abou wei,0
400,idk apa teals talking abou,let tu faggot be happy dengan his imba hero counter lah,1
401,let tu faggot be happy dengan his imba hero counter we,apa tu fuck je,1
402,apa tu fuck,kau actually tu fucking teruk ursa ?,1
403,kau actually tu fucking teruk ursa ? ke,or feed ? kot,0
404,or feed ? we,kau know tu ? we,0
405,kau know tu ? kot,macam mana to change aggro d,0
406,macam mana to change aggro d,apa tu fuck wei,1
407,apa tu fuck sia,apa a world kita live kat,0
408,apa a world kita live kat,nice one je,0
409,nice one sia,babi hows kau punya mom ursa ? ke,1
410,hows kau punya mom ursa ?,babi she just told aku about kau punya baby sized dick wei,1
411,she just told aku about kau punya baby sized dick,kau tu shit,1
412,kau tu shit sia,cant win game,0
413,cant win game wei,sekarang kau pick counter vs aku wei,0
414,sekarang kau pick counter vs aku,kau fucking nerd ke,1
415,,"any suggest , best porn site ? je",1
416,"any suggest , best porn site ?",child porn or apa ? kot,1
417,child porn or apa ? wei,aduh or do kau want gay porn lah,1
418,or do kau want gay porn sia,mind topo ?,0
419,,tapi aku punya teammates wont to bunuh kau 9,0
420,,report alche plz sia,0
421,,withh 600 avg gpm lah,0
422,,music to aku punya ears,0
423,music to aku punya ears,never chat semua kat early kids,0
424,,aduh fuck ni team,1
425,fuck ni team,kau guys were winning early game,0
426,,bodoh kau fookin clown magnus sia,1
427,,kau suck aku cocky kot,1
428,kau suck aku cocky sia,aduh dickhead kot,1
429,,techies matanme,0
430,,techies pergi bunuh yourself,0
431,techies pergi bunuh yourself,techies makes tu game boring,0
432,,mana tu fuck tu snow lah,1
433,mana tu fuck tu snow lah,nah just other route wei,0
434,,oh right,0
435,,switch off aku punya cheats ke,0
436,switch off aku punya cheats lah,babi playing dengan noob wei,1
437,playing dengan noob sia,0reaction team 0 def team 0 info team pls ff enmys lah,0
438,,shadow fiend,0
439,shadow fiend wei,aduh aku will burn kau alive,1
440,aku will burn kau alive lah,babi finger kau to mati,1
441,finger kau to mati,ya dengan aku punya ultimate fingering skill wei,1
442,ya dengan aku punya ultimate fingering skill,"sori , was fingering kau punya mum wei",1
443,,apa,0
444,apa,"i'm really tak , sry man",0
445,"i'm really tak , sry man we",fuck ur refract lol kot,1
446,fuck ur refract lol,im passivbe ehhe lah,0
447,,aduh suck aku punya dick idito kot,1
448,,tolong,0
449,,"well , were kita able to do shit ? wei",1
450,,comend plz ke,0
451,comend plz je,dan jungle je,0
452,,hhe lah,0
453,hhe lah,first pick,0
454,,its best for kau to leave lah,0
455,,raport ni shit omni lah,1
456,,they cant understand kau wei,0
457,they cant understand kau kot,kau dumb dan blind ?,1
458,kau dumb dan blind ? sia,"its pretty dumb you're complaining , you're literally doing tu worst on kau punya team dan holding them back lc wei",1
459,"its pretty dumb you're complaining , you're literally doing tu worst on kau punya team dan holding them back lc je",lol 0 sunstrikes shit invo kot,1
460,lol 0 sunstrikes shit invo,babi tapi fuck lc,1
461,tapi fuck lc,bodoh gg ni shit wei,1
462,,tolong kot,0
463,,strictly bussiness we,0
464,strictly bussiness sia,w8 2 more sex,1
465,,comend mid,0
466,,try hard,0
467,try hard sia,so try hard,0
468,so try hard,aduh ez game tryhard fucker nice viper tak skill hero pick,1
469,,its a prank we,0
470,,spe tu so fucking over farmed,1
471,,ta ebal tvou rot sia,0
472,,sex sia,1
473,,babi pls report sd . he tu a russian scim je,1
474,pls report sd . he tu a russian scim,ragnaros tu life,0
475,ragnaros tu life wei,game tu hard kot,0
476,,kenapa even try ?,0
477,,basher void we,0
478,basher void je,aduh fucking account buyer omni ke,1
479,fucking account buyer omni,every game he picks omni 5 pos,0
480,every game he picks omni 5 pos lah,babi gg ni omni watches sangat much fucking slacks wei,1
481,,rofl lah,0
482,rofl,they blame aku je,0
483,they blame aku lah,read he name,0
484,read he name sia,he braindead ?,0
485,he braindead ? je,rip english,0
486,,babi 2 piece of shit,1
487,,worth ? we,0
488,worth ? sia,worth ? kot,0
489,worth ?,losing to herald bro kot,0
490,losing to herald bro sia,then apa r kau jug,0
491,then apa r kau jug je,just jap bitch kot,1
492,just jap bitch wei,apa happened to kau punya mid ?,0
493,apa happened to kau punya mid ? je,kenapa make am so fat,0
494,kenapa make am so fat ke,babi datang suck aku punya dick,1
495,datang suck aku punya dick we,aku rich apa ke,0
496,aku rich apa,babi thanks poor fagot kot,1
497,thanks poor fagot ke,radian victory wei,0
498,,babi get off aku punya dick pudge we,1
499,get off aku punya dick pudge,morons,1
500,,currently kat gamedota 2join game kot,0
501,,solo carry team,0
502,solo carry team,buy retard items aku cant blieve,1
503,buy retard items aku cant blieve,"babi enjoy ur loss kau fuc , kijng garbage piece of shit",1
504,"enjoy ur loss kau fuc , kijng garbage piece of shit je",babi get cancers semua sia,1
505,get cancers semua lah,bodoh retard im legend 5 idiot bastard noob,1
506,retard im legend 5 idiot bastard noob,babi shut tu fuck up ke,1
507,shut tu fuck up je,sucker ke,1
508,sucker,dan be useless,1
509,dan be useless,aduh team boleh feed every noob,1
510,team boleh feed every noob,unbelievable macam mana people boleh be so teruk to lose thsi game sia,0
511,unbelievable macam mana people boleh be so teruk to lose thsi game kot,fucking trash of humanity,1
512,fucking trash of humanity je,nice fair matchmaking,0
513,nice fair matchmaking we,tak fucking one,1
514,tak fucking one sia,even treads on agi wei,0
515,even treads on agi je,aku cant believe macam mana lowskill dan stupid people boleh be lah,1
516,,clock kot,0
517,,one curse dan kau boys run ? we,0
518,,fuck ni team je,1
519,fuck ni team wei,babi report noob team,1
520,,end tolong lah,0
521,,fucking pieces of trash,1
522,,ni tu undying we,0
523,,wtf tu kau doing,1
524,,macam mana often ke,0
525,macam mana often lah,kau had so much luck . 100 chance for tu fucking skill,1
526,,twice aku get ni shitty brood as a core . kot,1
527,,ez predicted pango,0
528,,report ursa kot,0
529,,apa sound do kau think aku make when aku eat cum,1
530,,feeed aku more,0
531,,f ck ni we,1
532,,aduh ni lineup tu fucking stupid wei,1
533,ni lineup tu fucking stupid,these,0
534,these ke,dan storm spends more time typing than anything else,0
535,dan storm spends more time typing than anything else wei,ill sit kat base,0
536,ill sit kat base we,bodoh ni fucking ursa try hard sia,1
537,ni fucking ursa try hard we,did anything except feed lol je,0
538,did anything except feed lol,sounds mantap lah,0
539,sounds mantap kot,who kept whining,0
540,,aduh np our sf tu totaly autistic lah,1
541,np our sf tu totaly autistic lah,babi sf tu brainlet we,1
542,sf tu brainlet,babi pathetic am pick kat unranked,1
543,,ya kita know tu je,0
544,,noobs always goes core wei,1
545,,just pretend tu man doesn't exist . . .,0
546,just pretend tu man doesn't exist . . .,cool,0
547,cool ke,aduh pa realy shit je,1
548,pa realy shit,bodoh look tu shit pa,1
549,look tu shit pa wei,ez pergi fuck ur mather pla wei,1
550,ez pergi fuck ur mather pla ke,let them def wtf,1
551,,5 asshole move together,1
552,5 asshole move together wei,asshole,1
553,asshole lah,aduh fuc k kau asshole wei,1
554,fuc k kau asshole sia,people ke,0
555,people lah,"ck kau need to study , half kau punya senteces make tak sense",0
556,,aduh stfu techies player,1
557,,tu was a 3v1 sangat ? lah,0
558,tu was a 3v1 sangat ? wei,thats apa kau punya mum said sia,0
559,,kita tu late game wei,0
560,,kenapa kau play whis shit heroes,0
561,kenapa kau play whis shit heroes,reported pa kot,0
562,reported pa ke,peace of shits kot,1
563,,ill out retard kau punya feed jangan worry sia,0
564,ill out retard kau punya feed jangan worry,report alch for tak having 0 . 25 seconds per atk je,0
565,,he's mantap,0
566,he's mantap lah,cancer sup,0
567,,should aku stay or should aku pergi sekarang we,0
568,,nice rosh ke,0
569,,party ? ? ? kot,0
570,party ? ? ?,cum back ? ? lah,1
571,,rrei rrei vei pei jonge' kot,0
572,,asshole lah,1
573,,aku jangan know kot,0
574,,report him,0
575,report him,babi there tu a tip for noob player macam am we,1
576,there tu a tip for noob player macam am,bodoh kalau kau tu some kind of retard,1
577,kalau kau tu some kind of retard wei,ply sup kot,0
578,ply sup ke,kita really,0
579,kita really we,team respect him we,0
580,,pheonix,0
581,pheonix sia,omg tu pheonix plays d wei,0
582,,im going to hook ke,0
583,,antimage dan axe wei,0
584,antimage dan axe ke,tak boleh even fucking finish a game already won,1
585,,1v3 fore apa,0
586,1v3 fore apa,pergi next ty lah,0
587,pergi next ty,babi cant believe a retard wanbts to bunuh instead of ending tu game,1
588,cant believe a retard wanbts to bunuh instead of ending tu game sia,babi retard aku punya fucking team sia,1
589,,tolong,0
590,,macam mana tu these ranks equal ? je,0
591,macam mana tu these ranks equal ? lah,felt teruk right ? je,0
592,,kau care ? ! ? ! ?,0
593,kau care ? ! ? ! ? lah,thank kau for improving tu dota 2 community,0
594,,tu feel so mantap,0
595,tu feel so mantap,aku punya team doesnt deserve to get out of lp,0
596,aku punya team doesnt deserve to get out of lp wei,or whatever,0
597,,it fucked aku more than kau . ke,1
598,it fucked aku more than kau . lah,babi apa a joe lah,1
599,apa a joe lah,babi dude tu other team doesnt wanna hear kau be a little bitch either,1
